country;happiness;income;lifeexp;sanitation;water;urbanpopulation;unemployment;literacy;inequality;murder;energy;childmortality;fertility;hiv;foodsupply;population
Kazakhstan;5.949995040893555;0.1916365799107031;0.5396226415094341;0.9763237193284545;0.8543371522094926;0.11152725759467333;0.0808665206238649;0.9986577181208053;0.2219827586206896;0.07501402764251763;0.23567772245985558;0.0771513353115727;0.23471074380165294;0.003330565303188592;0.7228260869565217;0.012410068087477763
Kenya;4.3576178550720215;0.018571416604538565;0.3396226415094339;0.24451140766250537;0.32078559738134205;0.06991260923845194;0.1795489468623322;0.6295302013422819;0.5215517241379309;0.060624138724247746;0.024396821886478997;0.3620178041543026;0.4429752066115702;0.28566964006678985;0.15217391304347827;0.03348646466667143
Kuwait;6.146031856536865;0.5752950735903901;0.8490566037735849;0.9999999999999999;1.0;0.6379525593008739;0.1795489468623322;0.9208053691275168;0.4520388615216202;0.011692926843425712;0.48002351760853973;0.04821958456973293;0.12396694214876033;0.04576739706208025;0.8532608695652173;0.002579179377996242
Kyrgyz Republic;4.905375957489014;0.021922145806981246;0.520754716981132;0.9634093844167025;0.7921440261865794;0.21658951384515676;0.15463685895635568;0.9919463087248322;0.26724137931034475;0.04728121714790618;0.03178652915698004;0.14910979228486645;0.2991735537190082;0.0020804871733054744;0.48369565217391286;0.003958075832160438
Latvia;5.8805975914001465;0.1882858507082604;0.6603773584905661;0.9235901851054671;0.9770867430441897;0.21658951384515676;0.29038177086258876;0.9999999999999999;0.3793103448275862;0.05398868759311453;0.11431391692242966;0.020771513353115723;0.047933884297520685;0.0015625976623538972;0.6739130434782608;0.0011859938414054741
Lebanon;5.171971321105957;0.10451762064719336;0.8603773584905658;0.9504950495049506;0.8739770867430442;0.35601331668747405;0.1795489468623322;0.8630872483221476;0.3275862068965517;0.060624138724247746;0.06900476285512398;0.04599406528189911;0.07933884297520663;0.0004553856044574214;0.6195652173913042;0.0039437867497338665
Liberia;2.70159125328064;0.0013570453269892858;0.2452830188679247;0.10568230736117087;0.5073649754500819;0.2530170620058261;0.03958134396824506;0.236241610738255;0.35775862068965525;0.060624138724247746;0.1280948947662362;0.5037091988130563;0.5636363636363637;0.0044020608430884066;0.14673913043478248;0.002979273685940257
Libya;5.615404605865479;0.10786834984963604;0.6377358490566039;0.9967714162720619;0.9476268412438625;0.14898044111527256;0.1795489468623322;0.861744966442953;0.4520388615216202;0.060624138724247746;0.15207154531185108;0.08308605341246289;0.17685950413223142;0.04576739706208025;0.5265468227424748;0.004215279315838733
Lithuania;5.71137809753418;0.22095546043207656;0.6641509433962267;0.9311235471373224;0.9574468085106383;0.21658951384515676;0.26042427306259247;0.9986577181208053;0.4482758620689654;0.04624929861787413;0.12564120543925605;0.021513353115726996;0.06611570247933882;0.0002053699784807979;0.8097826086956521;0.0018575807154543572
Luxembourg;6.701571464538574;0.7930924717491645;0.9320754716981132;0.9741713301764959;1.0;0.21658951384515676;0.1490198281188564;0.7559381383133935;0.3706896551724137;0.00821020180456753;0.35002939701067465;0.002225519287833825;0.052892561983471115;4.464564749582562e-05;0.875;0.00016932562675487793
Macedonia, FYR;4.975589752197266;0.10200457374536134;0.6528301886792454;0.9020662935858804;0.9476268412438625;0.21658951384515676;1.0;0.9677852348993289;0.4094827586206896;0.00840368652894854;0.06468960532490439;0.07270029673590503;0.04628099173553721;0.04576739706208025;0.5543478260869565;0.001250294712325048
Madagascar;3.592514038085937;0.006341255015622775;0.18867924528301883;0.02808867843306069;0.19148936170212771;0.07199334165626302;0.1795489468623322;0.5261744966442953;0.560344827586207;0.060624138724247746;0.1280948947662362;0.34272997032640945;0.49586776859504134;0.00600930415293813;0.06521739130434767;0.017054019876113657
Malawi;3.867638349533081;0.003911976343851831;0.07924528301886813;0.3919500645716746;0.46317512274959094;0.013212650853100298;0.11250912767511094;0.4832214765100671;0.6228448275862069;0.060624138724247746;0.1280948947662362;0.42210682492581597;0.5636363636363637;0.16244765297831115;0.23913043478260865;0.012338622675344902
Malaysia;6.3221211433410645;0.20420181441986315;0.6830188679245288;0.9956952216960825;0.9410801963993455;0.1916354556803995;0.015334494186373084;0.9100671140939597;0.5258620689655172;0.004650082875956944;0.15692609753334807;0.04451038575667655;0.13553719008264467;0.014402685882153349;0.5380434782608694;0.02169797166474955
Mali;4.582098484039307;0.010864739438920398;0.15471698113207566;0.2606543263021954;0.5793780687397708;0.09176029962546817;0.13216873560635847;0.10872483221476509;0.35344827586206895;0.060624138724247746;0.1280948947662362;0.8293768545994065;0.8115702479338844;0.01958158099166912;0.5217391304347825;0.012267177263212043
Malta;6.613394260406494;0.2829439506772662;0.9056603773584908;0.9999999999999999;1.0;0.21658951384515676;0.13123256380010861;0.9006711409395974;0.2758620689655171;0.006855808733900459;0.09273812927133172;0.03486646884272997;0.03305785123966942;0.0;0.7880434782608694;7.001650389020268e-05
Mauritania;3.922664165496826;0.024937802089179662;0.47924528301886804;0.40378820490744727;0.502454991816694;0.22284644194756556;0.1795489468623322;0.44697986577181203;0.3448275862068966;0.060624138724247746;0.1280948947662362;0.6060830860534125;0.578512396694215;0.004223478253105105;0.5163043478260869;0.0027506483671151053
Mexico;6.2362871170043945;0.1346741834691775;0.7132075471698114;0.8837709857942316;0.9721767594108021;0.36953807740324596;0.007264693216499093;0.9154362416107383;0.6293103448275862;0.2441196767515205;0.07709568322428571;0.0949554896142433;0.1619834710743802;0.0320823622905003;0.6195652173913042;0.08978544942736502
Moldova;6.017472267150879;0.03457114854620237;0.5584905660377357;0.7675419715884633;0.7823240589198036;0.21658951384515676;0.035368570840120586;0.989261744966443;0.22413793103448276;0.050892932003018365;0.04678170157449311;0.10385756676557861;0.0016528925619834767;0.0026162349432553816;0.42391304347826075;0.00267205841376896
Mongolia;4.982719898223877;0.09027702153681195;0.41132075471698126;0.5609126130004305;0.7250409165302784;0.43612151477320016;0.13591342283135802;0.9677852348993289;0.3318965517241379;0.060624138724247746;0.09597449741899641;0.12314540059347179;0.25619834710743805;4.464564749582562e-05;0.31521739130434767;0.001893303421520787
Montenegro;5.1249213218688965;0.1229466312606281;0.7396226415094342;0.9558760223848471;0.9607201309328969;0.21658951384515676;0.5965099515063004;0.9825503355704698;0.32974137931034475;0.022386182610882877;0.07979265668067295;0.014094955489614237;0.07272727272727272;0.04576739706208025;0.8478260869565217;0.00021290732815592244
Morocco;5.163156986236572;0.0558482789817134;0.6603773584905661;0.8224278949634094;0.7217675941080196;0.18435289221806078;0.21174333913759855;0.5610738255033556;0.49353448275862066;0.060624138724247746;0.02655440065158879;0.19139465875370917;0.21322314049586774;0.005652138972971525;0.7989130434782608;0.024627233562196805
Mozambique;4.54976749420166;0.004163281034035032;0.06415094339622662;0.1777873439517865;0.13747954173486088;0.05045776113191844;0.1795489468623322;0.3395973154362416;0.8060344827586208;0.060624138724247746;0.019811967010620685;0.5408011869436201;0.6727272727272726;0.24995312207012937;0.19021739130434767;0.01976894553716233
Myanmar;4.223846435546875;0.03725173190815651;0.4603773584905664;0.620103314679294;0.46808510638297884;0.08135663753641281;0.009904697710123762;0.9046979865771813;0.46336206896551724;0.060624138724247746;0.01679135673946697;0.37462908011869434;0.16363636363636366;0.039225665889832395;0.34782608695652173;0.03720162609758014
Nepal;4.812436580657959;0.014047932181240945;0.46792452830188713;0.41993112354713735;0.7986906710310967;0.0023928422804827335;0.03714729727199536;0.4308724832214764;0.34913793103448265;0.060624138724247746;0.01900287497370451;0.25148367952522255;0.15206611570247938;0.008688043002687667;0.40217391304347827;0.02026906342209235
Netherlands;7.324437141418457;0.38346582675054663;0.9169811320754717;0.9752475247524753;1.0;0.0896795672076571;0.1986369338501002;0.7559381383133935;0.25;0.006817111789024257;0.22488982863430662;0.012611275964391686;0.08429752066115706;0.0044020608430884066;0.7065217391304346;0.011838504790414883
New Zealand;7.418120861053467;0.2846193152784875;0.9132075471698116;0.9999999999999999;1.0;0.29151061173533077;0.08105375498511488;0.7559381383133935;0.4520388615216202;0.01451780381938846;0.23621711715113303;0.025222551928783372;0.12727272727272723;0.00040181082746243066;0.6576086956521738;0.0030578636392864034
Nicaragua;5.924112796783447;0.03633028137748478;0.7811320754716982;0.7449418854928971;0.7103109656301146;0.13545568039950062;0.042483476567619693;0.7073825503355705;0.6379310344827587;0.060624138724247746;0.0295750109227425;0.13427299703264092;0.16363636363636366;0.0012947237773789431;0.38586956521739113;0.004108111197639444
Niger;3.671453714370728;0.002295249503673237;0.1471698113207549;0.06263452432199743;0.11292962356792136;0.01758218893050354;0.1795489468623322;0.045637583892617406;0.3814655172413792;0.060624138724247746;0.004870734062235359;0.6884272997032641;1.0;0.011545364442420507;0.3369565217391304;0.01398186715440068
Nigeria;4.932914733886719;0.04227782571182054;0.25283018867924545;0.2746448557899268;0.4648117839607201;0.12713275072825636;0.1795489468623322;0.34630872483221475;0.5689655172413793;0.060624138724247746;0.03788168916841521;0.7848664688427299;0.7190082644628099;0.6071183020367343;0.4184782608695652;0.12908042610043796
